study_accession	secondary_study_accession	sample_accession	experiment_accession	run_accession	submission_accession	tax_id	scientific_name	study_alias	run_alias	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp
PRJEB9853	ERP011001	SAMEA3870353	ERX1327472	ERR1255865	ERA563597	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-18:28:06:339-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/005/ERR1255865/ERR1255865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/005/ERR1255865/ERR1255865_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/005/ERR1255865/ERR1255865_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/005/ERR1255865/ERR1255865_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255865/3001C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255865/3001C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870394	ERX1327475	ERR1255868	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:783-1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/008/ERR1255868/ERR1255868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/008/ERR1255868/ERR1255868_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/008/ERR1255868/ERR1255868_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/008/ERR1255868/ERR1255868_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255868/3001C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255868/3001C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870393	ERX1327476	ERR1255869	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:784-2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/009/ERR1255869/ERR1255869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/009/ERR1255869/ERR1255869_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/009/ERR1255869/ERR1255869_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/009/ERR1255869/ERR1255869_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255869/3001C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255869/3001C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870395	ERX1327477	ERR1255870	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:784-3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/000/ERR1255870/ERR1255870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/000/ERR1255870/ERR1255870_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/000/ERR1255870/ERR1255870_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/000/ERR1255870/ERR1255870_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255870/3014C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255870/3014C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870396	ERX1327478	ERR1255871	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:784-4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/001/ERR1255871/ERR1255871_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/001/ERR1255871/ERR1255871_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/001/ERR1255871/ERR1255871_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/001/ERR1255871/ERR1255871_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255871/3014C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255871/3014C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870397	ERX1327479	ERR1255872	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:784-5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/002/ERR1255872/ERR1255872.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/002/ERR1255872/ERR1255872.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255872/3014C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255872/3014C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870398	ERX1327480	ERR1255873	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:784-6	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/003/ERR1255873/ERR1255873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/003/ERR1255873/ERR1255873_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/003/ERR1255873/ERR1255873_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/003/ERR1255873/ERR1255873_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255873/3019C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255873/3019C.12M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870399	ERX1327481	ERR1255874	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:785-7	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/004/ERR1255874/ERR1255874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/004/ERR1255874/ERR1255874_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/004/ERR1255874/ERR1255874_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/004/ERR1255874/ERR1255874_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255874/3019C.18M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255874/3019C.18M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870400	ERX1327482	ERR1255875	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:785-8	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/005/ERR1255875/ERR1255875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/005/ERR1255875/ERR1255875_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/005/ERR1255875/ERR1255875_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/005/ERR1255875/ERR1255875_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255875/3019C.6M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255875/3019C.6M_run1_R2.fastq.gz	
PRJEB9853	ERP011001	SAMEA3870401	ERX1327483	ERR1255876	ERA563639	749906	gut metagenome	ena-STUDY-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-10-07-2015-17:54:37:257-388	ena-RUN-WASHINGTON UNIVERSITY CENTER FOR GENOME SCIENCES-11-02-2016-21:12:15:785-9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/006/ERR1255876/ERR1255876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR125/006/ERR1255876/ERR1255876_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/006/ERR1255876/ERR1255876_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR125/006/ERR1255876/ERR1255876_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255876/3023C.12M_run1_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR125/ERR1255876/3023C.12M_run1_R2.fastq.gz	
