ASV	IncMSE	IncNodePurity
41fedaa9200e2933821f84ecdc0b0772	6839.843508	1615904.911
90d32ffe026535b392c0bad850f213c4	6456.753116	1430692.155
ae881162d813e498f40bf33b8e42d54a	2284.795086	564951.6201
8163d49042bbad8871a7aab8527c9a97	1531.780528	536484.7451
28db2dbe532336062d8cabb33dc37f8a	3256.546998	531373.5501
265b3906c979e85ab69f8fa414a10646	2443.217899	495817.3295
5565f6a78d5ed4127ac88a50b7ddc5aa	2027.118043	450492.9405
cb2fe0146e2fbcb101050edb996a0ee2	1426.806954	290217.702
ba398751b7b2ecd6b0a9145551139ce2	1814.829263	288517.2105
a21ea7db9ddc004c27d892e52eddde32	1455.056623	239480.1308
b44621e5c80607cdfacbf7a81e1cbe41	686.4251455	234203.5935
aa9f89f9af07d53e077462471423f3ab	485.2875352	205853.2671
c9c68e2dd8743a7a24817638276e4d80	1776.559865	201619.7747
a67449672116e9a34e253d3d23be4f59	1383.896885	193659.8474
5affc1225cdc90b976019893320f391b	769.6402313	154920.8609
f8e327b7086b06953b73e5a76caa7af4	752.2912366	150487.1873
535696cecf56f03d3401d7d6dbe66d7b	484.9388885	143065.2219
78c46d38ee417a029286a49458fe8767	363.476811	143063.7179
7a20f7055ca2c7462cfa6a7aef16ec28	128.7405244	140795.8544
d4ee6a7e67bd087b4e9f78e28c50312c	558.3014354	138761.231
dbfb1160e303f513765b781bc5df8652	35.8219675	121601.7181
0741ae033054073fece98b9948ec4387	717.1548228	103909.701
68954a8c5e94805dec894bd91b605296	231.3617722	99215.25512
79e9e337b10e2d298bb1b3bde946782d	178.4220118	96367.68925
