ASV	Taxon	Confidence
5affc1225cdc90b976019893320f391b	Unassigned	0.8595327399426547
265b3906c979e85ab69f8fa414a10646	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	0.9988307342654584
56e69ecaf2f34deca6f3e3dc9eb17a04	k__Bacteria	0.8355284148727739
68954a8c5e94805dec894bd91b605296	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum	0.9548277275577262
a67449672116e9a34e253d3d23be4f59	k__Bacteria	0.945286240159541
a3a07c53adbdf8e5fd7242899b2780a0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	0.9656910545991333
dbfb1160e303f513765b781bc5df8652	k__Bacteria	0.9178247884993322
5565f6a78d5ed4127ac88a50b7ddc5aa	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__ruminis	0.9945185471665656
a73d199c8b13e0db5078aba5b562df2f	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae	0.7345670300835042
646de7e95f76591cfa88a547de0263d5	k__Bacteria	0.931313372073996
9b62995e96fda3f88d7ad6fb183939d5	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__aerofaciens	0.9700500213844505
f04d67c34cf5f61e733f6002884dce7a	k__Bacteria	0.9258574209007963
28db2dbe532336062d8cabb33dc37f8a	k__Bacteria	0.8940792386323294
1e093dbed6be41b9f11c0713417b6cac	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella	0.9419888363728826
63477d7f3308c10d7cdaf00eae4bce08	k__Bacteria	0.8754526224140249
69aff46fb8d56ba561f9991c4be02930	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales	0.9261131111728833
f831a9c7054013dccee0642fcfa6d990	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.9978130355141892
c8534dd3da1e5a3b25730b64067150d0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.9974235037837312
f29fc90ed649b65275222c1b42deb68b	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__	0.9376838012838354
28df15b6ccd52349883d49937158a152	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0.9974190416453544
